Ticker	Nom	Secteur	Lieu	Bourse de valeurs	Devise de marché
AMAT	APPLIED MATERIAL INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
LRCX	LAM RESEARCH CORP	Technologie de l'information	Etats-Unis	NASDAQ	USD
RTX	RTX CORP	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
PM	PHILIP MORRIS INTERNATIONAL INC	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
GS	GOLDMAN SACHS GROUP INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
ORCL	ORACLE CORP	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
WFC	WELLS FARGO	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
UNH	UNITEDHEALTH GROUP INC	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
GEV	GE VERNOVA INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
LIN	LINDE PLC	Matériaux	Etats-Unis	NASDAQ	USD
IBM	INTERNATIONAL BUSINESS MACHINES CO	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
MCD	MCDONALDS CORP	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
PEP	PEPSICO INC	Biens de consommation de base	Etats-Unis	NASDAQ	USD
VZ	VERIZON COMMUNICATIONS INC	La communication	Etats-Unis	New York Stock Exchange Inc.	USD
C	CITIGROUP INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
T	AT&T INC	La communication	Etats-Unis	New York Stock Exchange Inc.	USD
INTC	INTEL CORPORATION CORP	Technologie de l'information	Etats-Unis	NASDAQ	USD
MS	MORGAN STANLEY	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
AMGN	AMGEN INC	Santé	Etats-Unis	NASDAQ	USD
KLAC	KLA CORP	Technologie de l'information	Etats-Unis	NASDAQ	USD
NEE	NEXTERA ENERGY INC	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
TMO	THERMO FISHER SCIENTIFIC INC	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
TJX	TJX INC	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
ABT	ABBOTT LABORATORIES	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
TXN	TEXAS INSTRUMENT INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
GILD	GILEAD SCIENCES INC	Santé	Etats-Unis	NASDAQ	USD
DIS	WALT DISNEY	La communication	Etats-Unis	New York Stock Exchange Inc.	USD
CRM	SALESFORCE INC	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
AXP	AMERICAN EXPRESS	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
COP	CONOCOPHILLIPS	Energie	Etats-Unis	New York Stock Exchange Inc.	USD
ISRG	INTUITIVE SURGICAL INC	Santé	Etats-Unis	NASDAQ	USD
SCHW	CHARLES SCHWAB CORP	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
PFE	PFIZER INC	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
BA	BOEING	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
APH	AMPHENOL CORP CLASS A	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
ADI	ANALOG DEVICES INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
HON	HONEYWELL INTERNATIONAL INC	Industries	Etats-Unis	NASDAQ	USD
UNP	UNION PACIFIC CORP	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
DE	DEERE	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
UBER	UBER TECHNOLOGIES INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
BLK	BLACKROCK INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
ETN	EATON PLC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
QCOM	QUALCOMM INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
BKNG	BOOKING HOLDINGS INC	Biens de consommation cycliques	Etats-Unis	NASDAQ	USD
WELL	WELLTOWER INC	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
SPGI	S&P GLOBAL INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
ANET	ARISTA NETWORKS INC	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
LOW	LOWES COMPANIES INC	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
PANW	PALO ALTO NETWORKS INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
CB	CHUBB	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
BMY	BRISTOL MYERS SQUIBB	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
LMT	LOCKHEED MARTIN CORP	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
PLD	PROLOGIS REIT INC	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
ACN	ACCENTURE PLC CLASS A	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
INTU	INTUIT INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
DHR	DANAHER CORP	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
NEM	NEWMONT	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
PGR	PROGRESSIVE CORP	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
VRTX	VERTEX PHARMACEUTICALS INC	Santé	Etats-Unis	NASDAQ	USD
PH	PARKER-HANNIFIN CORP	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
COF	CAPITAL ONE FINANCIAL CORP	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
SYK	STRYKER CORP	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
MDT	MEDTRONIC PLC	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
GLW	CORNING INC	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
MO	ALTRIA GROUP INC	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
NOW	SERVICENOW INC	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
TMUS	T MOBILE US INC	La communication	Etats-Unis	NASDAQ	USD
SO	SOUTHERN	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
MCK	MCKESSON CORP	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
CME	CME GROUP INC CLASS A	Finance	Etats-Unis	NASDAQ	USD
CMCSA	COMCAST CORP CLASS A	La communication	Etats-Unis	NASDAQ	USD
DUK	DUKE ENERGY CORP	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
ADBE	ADOBE INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
SBUX	STARBUCKS CORP	Biens de consommation cycliques	Etats-Unis	NASDAQ	USD
EQIX	EQUINIX REIT INC	Immobilier	Etats-Unis	NASDAQ	USD
CRWD	CROWDSTRIKE HOLDINGS INC CLASS A	Technologie de l'information	Etats-Unis	NASDAQ	USD
TT	TRANE TECHNOLOGIES PLC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
WDC	WESTERN DIGITAL CORP	Technologie de l'information	Etats-Unis	NASDAQ	USD
BSX	BOSTON SCIENTIFIC CORP	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
NOC	NORTHROP GRUMMAN CORP	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
APP	APPLOVIN CORP CLASS A	Technologie de l'information	Etats-Unis	NASDAQ	USD
ICE	INTERCONTINENTAL EXCHANGE INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
WM	WASTE MANAGEMENT INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
CVS	CVS HEALTH CORP	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
WMB	WILLIAMS INC	Energie	Etats-Unis	New York Stock Exchange Inc.	USD
VRT	VERTIV HOLDINGS CLASS A	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
STX	SEAGATE TECHNOLOGY HOLDINGS PLC	Technologie de l'information	Etats-Unis	NASDAQ	USD
BX	BLACKSTONE INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
HWM	HOWMET AEROSPACE INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
MRSH	MARSH INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
PWR	QUANTA SERVICES INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
MRVL	MARVELL TECHNOLOGY INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
CEG	CONSTELLATION ENERGY CORP	Services publics	Etats-Unis	NASDAQ	USD
JCI	JOHNSON CONTROLS INTERNATIONAL PLC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
EOG	EOG RESOURCES INC	Energie	Etats-Unis	New York Stock Exchange Inc.	USD
PNC	PNC FINANCIAL SERVICES GROUP INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
FCX	FREEPORT MCMORAN INC	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
ADP	AUTOMATIC DATA PROCESSING INC	Industries	Etats-Unis	NASDAQ	USD
MMM	3M	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
BK	BANK OF NEW YORK MELLON CORP	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
ORLY	OREILLY AUTOMOTIVE INC	Biens de consommation cycliques	Etats-Unis	NASDAQ	USD
AMT	AMERICAN TOWER REIT CORP	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
USB	US BANCORP	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
VLO	VALERO ENERGY CORP	Energie	Etats-Unis	New York Stock Exchange Inc.	USD
CSX	CSX CORP	Industries	Etats-Unis	NASDAQ	USD
SLB	SLB NV	Energie	Etats-Unis	New York Stock Exchange Inc.	USD
GD	GENERAL DYNAMICS CORP	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
MELI	MERCADOLIBRE INC	Biens de consommation cycliques	Etats-Unis	NASDAQ	USD
HCA	HCA HEALTHCARE INC	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
CDNS	CADENCE DESIGN SYSTEMS INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
MPC	MARATHON PETROLEUM CORP	Energie	Etats-Unis	New York Stock Exchange Inc.	USD
EMR	EMERSON ELECTRIC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
FDX	FEDEX CORP	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
CMI	CUMMINS INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
REGN	REGENERON PHARMACEUTICALS INC	Santé	Etats-Unis	NASDAQ	USD
SHW	SHERWIN WILLIAMS	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
MAR	MARRIOTT INTERNATIONAL INC CLASS A	Biens de consommation cycliques	Etats-Unis	NASDAQ	USD
SNPS	SYNOPSYS INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
MDLZ	MONDELEZ INTERNATIONAL INC CLASS A	Biens de consommation de base	Etats-Unis	NASDAQ	USD
AEP	AMERICAN ELECTRIC POWER INC	Services publics	Etats-Unis	NASDAQ	USD
HLT	HILTON WORLDWIDE HOLDINGS INC	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
ITW	ILLINOIS TOOL INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
UPS	UNITED PARCEL SERVICE INC CLASS B	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
CI	CIGNA	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
MSI	MOTOROLA SOLUTIONS INC	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
CRH	CRH PUBLIC LIMITED PLC	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
MCO	MOODYS CORP	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
GM	GENERAL MOTORS	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
ROST	ROSS STORES INC	Biens de consommation cycliques	Etats-Unis	NASDAQ	USD
PSX	PHILLIPS	Energie	Etats-Unis	New York Stock Exchange Inc.	USD
RCL	ROYAL CARIBBEAN GROUP LTD	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
AON	AON PLC CLASS A	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
CL	COLGATE-PALMOLIVE	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
ECL	ECOLAB INC	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
NSC	NORFOLK SOUTHERN CORP	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
ELV	ELEVANCE HEALTH INC	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
SRE	SEMPRA	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
TDG	TRANSDIGM GROUP INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
APD	AIR PRODUCTS AND CHEMICALS INC	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
KMI	KINDER MORGAN INC	Energie	Etats-Unis	New York Stock Exchange Inc.	USD
WBD	WARNER BROS. DISCOVERY INC SERIES	La communication	Etats-Unis	NASDAQ	USD
NKE	NIKE INC CLASS B	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
PCAR	PACCAR INC	Industries	Etats-Unis	NASDAQ	USD
BKR	BAKER HUGHES CLASS A	Energie	Etats-Unis	NASDAQ	USD
TRV	TRAVELERS COMPANIES INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
LHX	L3HARRIS TECHNOLOGIES INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
LNG	CHENIERE ENERGY INC	Energie	Etats-Unis	New York Stock Exchange Inc.	USD
CTAS	CINTAS CORP	Industries	Etats-Unis	NASDAQ	USD
SPG	SIMON PROPERTY GROUP REIT INC	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
NET	CLOUDFLARE INC CLASS A	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
TEL	TE CONNECTIVITY PLC	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
TFC	TRUIST FINANCIAL CORP	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
DLR	DIGITAL REALTY TRUST REIT INC	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
AZO	AUTOZONE INC	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
COR	CENCORA INC	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
DASH	DOORDASH INC CLASS A	Biens de consommation cycliques	Etats-Unis	NASDAQ	USD
TGT	TARGET CORP	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
AFL	AFLAC INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
OKE	ONEOK INC	Energie	Etats-Unis	New York Stock Exchange Inc.	USD
FAST	FASTENAL	Industries	Etats-Unis	NASDAQ	USD
O	REALTY INCOME REIT CORP	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
ALL	ALLSTATE CORP	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
KKR	KKR AND CO INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
MPWR	MONOLITHIC POWER SYSTEMS INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
FTNT	FORTINET INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
CTVA	CORTEVA INC	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
ABNB	AIRBNB INC CLASS A	Biens de consommation cycliques	Etats-Unis	NASDAQ	USD
CIEN	CIENA CORP	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
D	DOMINION ENERGY INC	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
MNST	MONSTER BEVERAGE CORP	Biens de consommation de base	Etats-Unis	NASDAQ	USD
ZTS	ZOETIS INC CLASS A	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
AJG	ARTHUR J GALLAGHER	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
ETR	ENTERGY CORP	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
TRGP	TARGA RESOURCES CORP	Energie	Etats-Unis	New York Stock Exchange Inc.	USD
DELL	DELL TECHNOLOGIES INC CLASS C	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
VST	VISTRA CORP	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
AME	AMETEK INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
NXPI	NXP SEMICONDUCTORS NV	Technologie de l'information	Etats-Unis	NASDAQ	USD
HOOD	ROBINHOOD MARKETS INC CLASS A	Finance	Etats-Unis	NASDAQ	USD
ADSK	AUTODESK INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
RSG	REPUBLIC SERVICES INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
LITE	LUMENTUM HOLDINGS INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
CAH	CARDINAL HEALTH INC	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
XEL	XCEL ENERGY INC	Services publics	Etats-Unis	NASDAQ	USD
URI	UNITED RENTALS INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
APO	APOLLO GLOBAL MANAGEMENT INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
FIX	COMFORT SYSTEMS USA INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
GWW	WW GRAINGER INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
EW	EDWARDS LIFESCIENCES CORP	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
EXC	EXELON CORP	Services publics	Etats-Unis	NASDAQ	USD
OXY	OCCIDENTAL PETROLEUM CORP	Energie	Etats-Unis	New York Stock Exchange Inc.	USD
KEYS	KEYSIGHT TECHNOLOGIES INC	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
F	FORD MOTOR CO	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
SNOW	SNOWFLAKE INC	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
EA	ELECTRONIC ARTS INC	La communication	Etats-Unis	NASDAQ	USD
FERG	FERGUSON ENTERPRISES INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
CARR	CARRIER GLOBAL CORP	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
IDXX	IDEXX LABORATORIES INC	Santé	Etats-Unis	NASDAQ	USD
BDX	BECTON DICKINSON	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
AIG	AMERICAN INTERNATIONAL GROUP INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
ED	CONSOLIDATED EDISON INC	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
TER	TERADYNE INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
CMG	CHIPOTLE MEXICAN GRILL INC	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
KR	KROGER	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
YUM	YUM BRANDS INC	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
AMP	AMERIPRISE FINANCE INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
PSA	PUBLIC STORAGE REIT	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
ROK	ROCKWELL AUTOMATION INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
FITB	FIFTH THIRD BANCORP	Finance	Etats-Unis	NASDAQ	USD
CVNA	CARVANA CLASS A	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
ALNY	ALNYLAM PHARMACEUTICALS INC	Santé	Etats-Unis	NASDAQ	USD
PCG	PG&E CORP	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
EBAY	EBAY INC	Biens de consommation cycliques	Etats-Unis	NASDAQ	USD
NDAQ	NASDAQ INC	Finance	Etats-Unis	NASDAQ	USD
WAB	WESTINGHOUSE AIR BRAKE TECHNOLOGIE	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
WCN	WASTE CONNECTIONS INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
MET	METLIFE INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
MSCI	MSCI INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
PYPL	PAYPAL HOLDINGS INC	Finance	Etats-Unis	NASDAQ	USD
GRMN	GARMIN LTD	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
NUE	NUCOR CORP	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
ODFL	OLD DOMINION FREIGHT LINE INC	Industries	Etats-Unis	NASDAQ	USD
CBRE	CBRE GROUP INC CLASS A	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
ROP	ROPER TECHNOLOGIES INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
HIG	HARTFORD INSURANCE GROUP INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
PEG	PUBLIC SERVICE ENTERPRISE GROUP IN	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
ADM	ARCHER DANIELS MIDLAND	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
COHR	COHERENT CORP	Technologie de l'information	Etats-Unis	New York Stock Exchange Inc.	USD
MLM	MARTIN MARIETTA MATERIALS INC	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
ACGL	ARCH CAPITAL GROUP LTD	Finance	Etats-Unis	NASDAQ	USD
DDOG	DATADOG INC CLASS A	Technologie de l'information	Etats-Unis	NASDAQ	USD
EQT	EQT CORP	Energie	Etats-Unis	New York Stock Exchange Inc.	USD
TTWO	TAKE TWO INTERACTIVE SOFTWARE INC	La communication	Etats-Unis	NASDAQ	USD
COIN	COINBASE GLOBAL INC CLASS A	Finance	Etats-Unis	NASDAQ	USD
MCHP	MICROCHIP TECHNOLOGY INC	Technologie de l'information	Etats-Unis	NASDAQ	USD
HAL	HALLIBURTON	Energie	Etats-Unis	New York Stock Exchange Inc.	USD
VMC	VULCAN MATERIALS	Matériaux	Etats-Unis	New York Stock Exchange Inc.	USD
MTB	M&T BANK CORP	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
VTR	VENTAS REIT INC	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
PRU	PRUDENTIAL FINANCIAL INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
EME	EMCOR GROUP INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
INSM	INSMED INC	Santé	Etats-Unis	NASDAQ	USD
DHI	D R HORTON INC	Biens de consommation cycliques	Etats-Unis	New York Stock Exchange Inc.	USD
KDP	KEURIG DR PEPPER INC	Biens de consommation de base	Etats-Unis	NASDAQ	USD
WEC	WEC ENERGY GROUP INC	Services publics	Etats-Unis	New York Stock Exchange Inc.	USD
A	AGILENT TECHNOLOGIES INC	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
FANG	DIAMONDBACK ENERGY INC	Energie	Etats-Unis	NASDAQ	USD
CCI	CROWN CASTLE INC	Immobilier	Etats-Unis	New York Stock Exchange Inc.	USD
KVUE	KENVUE INC	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
STT	STATE STREET CORP	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
GEHC	GE HEALTHCARE TECHNOLOGIES INC	Santé	Etats-Unis	NASDAQ	USD
CBOE	CBOE GLOBAL MARKETS INC	Finance	Etats-Unis	Cboe BZX	USD
MSTR	STRATEGY INC CLASS A	Technologie de l'information	Etats-Unis	NASDAQ	USD
RBLX	ROBLOX CORP CLASS A	La communication	Etats-Unis	New York Stock Exchange Inc.	USD
AXON	AXON ENTERPRISE INC	Industries	Etats-Unis	NASDAQ	USD
IR	INGERSOLL RAND INC	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
DOV	DOVER CORP	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
FISV	FISERV INC	Finance	Etats-Unis	NASDAQ	USD
SYY	SYSCO CORP	Biens de consommation de base	Etats-Unis	New York Stock Exchange Inc.	USD
XYZ	BLOCK INC CLASS A	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
CPRT	COPART INC	Industries	Etats-Unis	NASDAQ	USD
HBAN	HUNTINGTON BANCSHARES INC	Finance	Etats-Unis	NASDAQ	USD
KMB	KIMBERLY CLARK CORP	Biens de consommation de base	Etats-Unis	NASDAQ	USD
PAYX	PAYCHEX INC	Industries	Etats-Unis	NASDAQ	USD
RMD	RESMED INC	Santé	Etats-Unis	New York Stock Exchange Inc.	USD
RJF	RAYMOND JAMES INC	Finance	Etats-Unis	New York Stock Exchange Inc.	USD
OTIS	OTIS WORLDWIDE CORP	Industries	Etats-Unis	New York Stock Exchange Inc.	USD
CTSH	COGNIZANT TECHNOLOGY SOLUTIONS COR	Technologie de l'information	Etats-Unis	NASDAQ	USD
